Output (S),Ia,Ib,Ic,Va,Vb,Vc,Unnamed: 7,Unnamed: 8,prediction
1,54.40012999,-195.5045336,143.791313,0.418898651,0.041667388,-0.46056604,,,1
0,-64.59840133,34.48079878,27.25006492,0.131668579,-0.563834635,0.432166056,,,0
0,54.68481867,-9.915715078,-47.70354862,0.217269199,0.388977298,-0.606246496,,,0
1,732.4099763,-676.5069807,-53.84379052,0.014915249,-0.295435783,0.280520534,,,1
0,-70.9375553,65.35428777,2.706621332,-0.178890131,-0.403244155,0.582134285,,,0
1,-35.57445164,783.9444506,-745.7507746,0.181615389,-0.000921074,-0.180694315,,,1
1,176.3396958,661.2749871,-837.6161267,0.040674949,-0.010110894,-0.030564055,,,1
1,128.3160581,-820.4474972,694.2106189,-0.034308275,-0.00435955,0.038667825,,,1
0,-63.51422779,85.75835895,-25.24156713,-0.411556011,-0.176919365,0.588475376,,,0
0,53.47909119,-10.92274433,-43.33211903,0.298825572,0.313302723,-0.612128295,,,0
0,27.17722606,-38.44910613,13.22498391,0.574078054,-0.143743595,-0.430334458,,,0
0,18.55790474,-35.26573288,18.5160895,0.585796828,-0.190650735,-0.395146094,,,0
1,430.0594452,-15.85943257,44.37724236,0.30093186,-0.598334625,0.297402765,,,1
0,37.19550892,-56.43452244,32.89175214,0.587815474,-0.15706842,-0.430747054,,,0
0,-24.52293192,-25.78962861,21.86461109,0.378762357,-0.543356147,0.16459379,,,0
1,-729.509819,295.9404415,434.2163207,-0.056563483,0.044294094,0.012269389,,,1
0,52.85100775,16.82503238,-73.08995791,-0.016809158,0.547129815,-0.530320657,,,0
1,-68.01596946,215.394727,-144.9326002,-0.421729578,-0.041593544,0.463323122,,,1
0,61.18233885,-45.1302282,-16.05211065,0.281342505,0.323952914,-0.605295419,,,0
0,-54.09368246,20.05170456,30.57754048,0.31204356,-0.583746465,0.271702905,,,0
0,36.33405511,-55.2655867,21.77132196,0.535541201,-0.029574371,-0.50596683,,,0
1,312.0176224,62.64026281,-46.34414094,-0.374911474,0.461247014,-0.086335539,,,1
0,51.54480563,13.02187593,-62.3104735,-0.142298415,0.588094772,-0.445796357,,,0
0,-32.40794132,63.33728673,-34.59474136,-0.587454739,0.160634661,0.426820078,,,0
1,-134.435513,-688.124929,824.5648707,-0.04010367,0.008221522,0.031882148,,,1
0,-34.77694043,63.326897,-28.54995657,-0.565952329,0.095551572,0.470400757,,,0
0,-40.66414889,4.40158563,32.80250323,0.43514455,-0.555002163,0.119857613,,,0
0,38.22611829,46.26952818,-87.52784984,-0.323298781,0.624681425,-0.301382644,,,0
0,15.38235336,50.28193753,-62.59048656,-0.513379377,0.543496953,-0.030117576,,,0
1,-235.3298632,855.8506728,-618.40291,0.030891166,0.009656003,-0.04054717,,,1
0,-67.2776821,22.31077723,47.76333532,0.063316697,-0.552549867,0.48923317,,,0
0,55.46702608,-37.98679987,-11.96020276,0.308170446,0.294503756,-0.602674202,,,0
1,-40.55343116,-358.4795866,401.4729631,-0.502264898,-0.036203628,0.538468526,,,1
1,-86.22728748,804.4416997,-718.2166759,0.035394443,0.002443836,-0.037838279,,,1
1,56.73599934,-333.5376858,279.3721677,0.359710179,0.039491203,-0.399201382,,,1
1,687.1247281,112.4847118,45.16552649,0.038635457,-0.376546191,0.337910734,,,1
1,-227.0160716,-620.649378,-57.75783563,-0.041347838,0.303559401,-0.262211563,,,1
1,787.7659621,-737.0069504,-48.76738302,0.001936632,-0.067013868,0.065077236,,,1
0,-60.25420102,53.22699534,3.26470686,-0.385593093,-0.213449003,0.599042096,,,0
0,55.68405377,6.170594992,-63.75392446,0.105363379,0.476052557,-0.581415935,,,0
0,22.6968663,43.80634371,-63.37439705,-0.467937543,0.573629446,-0.105691903,,,0
0,-34.69792544,-14.32970099,49.02762642,0.312546754,-0.597346614,0.284799861,,,0
0,53.04913145,-56.70195224,3.652820792,0.433388298,0.14987462,-0.583262918,,,0
0,51.95430912,19.93363624,-75.04747032,-0.072746106,0.571532073,-0.498785967,,,0
1,-678.0794743,-149.9024349,830.0741173,-0.039135341,0.033654807,0.005480534,,,1
0,-43.36279931,62.71025422,-23.09004797,-0.544290852,0.038821532,0.505469321,,,0
0,59.44802801,-26.45691168,-36.70035707,0.072375989,0.484075195,-0.556451184,,,0
1,463.7288069,68.09729287,-41.43430805,-0.352238123,0.371984444,-0.019746321,,,1
0,50.54558009,-48.15580681,4.345775111,0.434181833,0.143945741,-0.578127574,,,0
1,851.5292899,-271.5993594,11.08671259,0.027450589,-0.335732278,0.308281689,,,1
1,-160.3199249,-668.7750022,-57.71282036,-0.040498459,0.285143597,-0.244645138,,,1
0,-2.809397808,-34.08148046,38.85494257,0.562850242,-0.469573227,-0.093277015,,,0
1,172.3694179,-36.40226063,49.27768807,0.359290927,-0.598577799,0.239286871,,,1
1,-881.6027601,389.8361997,491.7642968,-0.022124547,0.042385609,-0.020261062,,,1
1,-882.3324311,415.2945684,469.0593145,-0.020971352,0.042383327,-0.021411976,,,1
0,61.25038391,-36.59644717,-26.16192503,0.183405654,0.407214302,-0.590619956,,,0
0,-17.49742817,-46.65457614,60.54114584,0.548108416,-0.496176972,-0.051931444,,,0
1,-737.964956,200.3531248,-15.82795962,-0.014242968,0.299069409,-0.284826441,,,1
0,10.97320652,-43.45751849,34.67871868,0.597554348,-0.266831432,-0.330722916,,,0
0,30.23499933,35.56561558,-63.07483749,-0.407920873,0.596635095,-0.188714221,,,0
0,-65.41770679,38.48488348,23.58897424,0.138886368,-0.563473963,0.424587595,,,0
1,-63.08012416,45.99037786,19.52461825,-0.473446197,-0.042439851,0.515886047,,,0
0,48.8758675,-43.85826341,-2.267707032,0.386211821,0.207693739,-0.59390556,,,0
1,-825.3909963,139.4607344,685.9280366,-0.031771651,0.040198582,-0.008426931,,,1
1,55.84234254,-541.4414957,488.3323981,0.278205369,0.027067541,-0.305272909,,,1
0,-58.62157461,8.333919809,50.2876548,0.106533508,-0.569831757,0.46329825,,,0
1,-44.57958224,786.1653248,-741.5874336,0.036461739,0.000439092,-0.03690083,,,1
1,853.8051608,-625.3225737,-226.4181409,0.009181761,-0.040375733,0.031193972,,,1
0,-66.01659304,31.01949538,37.29863822,0.060928658,-0.546396106,0.485467448,,,0
0,-22.45188117,-43.13886811,61.83871019,0.526298112,-0.521933067,-0.004365045,,,0
1,-574.1242184,239.2878357,-5.059180434,0.069065986,0.168907583,-0.237973569,,,1
0,-35.40209238,91.51755454,-54.27317149,-0.594686409,0.167053623,0.427632786,,,0
0,-21.53747365,-40.89874705,62.4362207,0.512872106,-0.535851443,0.022979337,,,0
0,-35.56472474,-2.503840485,34.86378011,0.466701374,-0.540192079,0.073490705,,,0
0,-16.09849896,68.97126916,-49.94074386,-0.609846833,0.344477071,0.265369762,,,0
0,-7.27243021,87.32268712,-83.18588525,-0.602968884,0.434814389,0.168154495,,,0
1,469.367227,-889.430045,-40.12586982,-0.021023446,0.039517154,-0.018493708,,,1
0,-4.778492314,-37.48676852,44.46304434,0.586224773,-0.392327528,-0.193897245,,,0
0,-41.37344481,91.37699901,-48.16250247,-0.573355199,0.101748909,0.47160629,,,0
0,-23.42082306,89.75317653,-64.48775969,-0.615461117,0.282899318,0.332561799,,,0
0,-40.61069341,-10.4759704,53.29248804,0.415770547,-0.578085691,0.162315144,,,0
1,-803.3015786,85.16032972,720.15785,-0.033463039,0.039258991,-0.005795952,,,1
0,30.37991633,35.88791308,-63.06282682,-0.408137027,0.596758688,-0.188621661,,,0
1,-543.2256532,875.4409857,-330.1025152,0.017450093,0.02470955,-0.042159642,,,1
0,-2.965658345,-27.58327959,32.43204183,0.586178659,-0.370862993,-0.215315666,,,0
